#sector orbit orbit_semgent  Ncam1 Ncam2 Ncam3 Ncam4 stem finished?
67 141 o1a 2992 2992 2992 2992 tess2023196084519 finished
67 141 o1b 2798 2798 2798 2798 tess2023198135701 finished
67 142 o2a 3129 3129 3129 3129 tess2023203094354 finished
67 142 o2b 2800 2800 2800 2800 tess2023210091344 finished
68 143 o1a 3095 3095 3095 3095 tess2023217132953 finished
68 143 o1b 2717 2717 2717 2717 tess2023224014013 finished
68 144 o2a 2826 2826 2826 2826 tess2023230171718 finished
68 144 o2b 3001 3001 3001 3001 tess2023238110642 finished
69 145 o1a 2508 2508 2508 2508 tess2023243202041 finished
69 145 o1b 2850 2850 2851 2851 tess2023251051207 finished
69 146 o2a 2726 2726 2726 2726 tess2023257101302 finished
69 146 o2b 2770 2771 2771 2771 tess2023264095204 finished
70 147 o1a 2556 2676 2556 2616 tess2023270124946 finished
70 147 o1b 2872 2752 2872 2812 tess2023277210019 finished
70 148 o2a 2637 2637 2637 2637 tess2023283082234 finished
70 148 o2b 2665 2665 2665 2665 tess2023289194643 finished
71 149 o1a 2792 2792 2792 2792 tess2023296083044 finished
71 149 o1b 5515 5515 5515 5515 tess2023302170338 finished
